2023-06-15,0,54
1,SENSEX,30
2,BSE100,101
3,BSE200,201
4,BSE500,501
7,BSE CG,24
8,BSE CD,12
10,BSEPSU,54
11,TECK,27
12,BANKEX,10
13,AUTO,16
14,METAL,10
15,OILGAS,10
21,REALTY,10
22,POWER,11
23,BSEIPO,34
25,GREENX,25
26,CARBON,100
27,SMEIPO,64
28,INFRA,30
29,CPSE,51
30,MIDCAP,125
31,SMLCAP,968
32,BSEFMC,80
33,BSE HC,99
34,BSE IT,58
35,MFG,30
36,ALLCAP,1183
37,COMDTY,192
38,CONDIS,298
39,ENERGY,27
40,FINSER,140
41,INDSTR,207
42,LRGCAP,90
43,MIDSEL,30
44,SMLSEL,60
45,TELCOM,16
46,UTILS,24
47,SNSX50,50
48,SNXT50,50
49,BHRT22,22
50,ESG100,54
55,MID150,150
56,SML250,250
57,LMI250,251
58,MSL400,400
59,BSEDSI,58
60,BSEEVI,30
61,BSELVI,30
62,BSEMOI,30
63,BSEQUI,30
64,DFRGRI,51
65,LCTMCI,101
66,BSEPBI,12
67,BSESER,42
1,500247,1429981920
1,532215,2768035500
1,500696,892831280
1,500010,1826765000
1,532174,6979627000
1,500875,8813950650
1,500209,3613317060
1,500510,1208613040
1,500520,957258610
1,532500,132915200
1,532555,4751366340
1,532454,2452390160
1,500180,4406456470
1,500325,3450236700
1,500112,3748326960
1,524715,1079660700
1,532540,1024534280
1,500820,450823060
1,532755,633057100
1,507685,1481524560
1,500034,266388760
1,532281,1058329350
1,532978,621197850
1,532187,651658560
1,500790,35673920
1,500114,417259420
1,532538,115468400
1,500570,1760222750
1,532898,3417971970
1,500470,8065942500
2,500469,2008752200
2,500300,375289140
2,500490,48969360
2,533096,771387800
2,500850,880648000
2,505200,139473780
2,526299,82880160
2,543066,283774200
2,500049,3581791710
2,533150,116768820
2,542830,304000000
2,532827,5911620
2,500271,217422450
2,500408,34874560
2,503806,145246290
2,540719,450373950
2,532777,73634880
2,539448,96386750
2,500034,266388760
2,540005,91702030
2,539876,597732840
2,541153,757074120
2,540716,235725600
2,523642,80407890
2,532540,1024534280
2,500800,603857800
2,500570,1760222750
2,500400,1693530200
2,500470,8065942500
2,532755,633057100
2,500114,417259420
2,512070,532931680
2,532538,115468400
2,500295,1115158200
2,511218,247121820
2,500550,89030000
2,500112,3748326960
2,524715,1079660700
2,500325,3450236700
2,532898,3417971970
2,500520,957258610
2,532500,132915200
2,532555,4751366340
2,500790,35673920
2,500312,3899886490
2,500010,1826765000
2,532174,6979627000
2,500696,892831280
2,500875,8813950650
2,530965,3812734530
2,532187,651658560
2,500209,3613317060
2,500228,942715800
2,500247,1429981920
2,500510,1208613040
2,500257,241083750
2,500410,84504150
2,500425,734688650
2,500477,1438702230
2,500820,450823060
2,532215,2768035500
2,532977,130215600
2,532921,734447260
2,500547,954470880
2,532454,2452390160
2,500087,540786480
2,533278,2095327520
2,500830,133273140
2,500096,584670240
2,532488,127424640
2,500124,121567630
2,500493,256073400
2,532155,2630040000
2,532424,378397150
2,532281,1058329350
2,500180,4406456470
2,500182,129896000
2,500440,1460659200
2,540376,148988250
2,500251,223956810
2,507685,1481524560
2,505537,960504000
2,570001,467821840
2,524804,281250720
2,500575,228310650
2,531642,517207600
2,540611,473289550
2,508869,100649500
2,532978,621197850
2,532868,618828000
2,512599,273600240
2,517354,250603200
2,511243,394504800
2,534816,835430470
2,500825,118025320
2,540133,388409580
2,532134,1861690320
2,540777,945713120
2,533155,382695600
2,500331,152486400
2,500387,9741870
3,502355,81193560
3,540133,388409580
3,505790,40639300
3,542066,274952500
3,532830,118189280
3,512599,273600240
3,500043,64264000
3,541729,78952450
3,539876,597732840
3,533398,108387720
3,539523,40652100
3,505537,960504000
3,500575,228310650
3,507685,1481524560
3,512070,532931680
3,532538,115468400
3,532477,1161906990
3,500165,134730000
3,532478,68745300
3,532281,1058329350
3,500180,4406456470
3,517354,250603200
3,500182,129896000
3,500104,638346600
3,500696,892831280
3,500188,211266000
3,500010,1826765000
3,532174,6979627000
3,500116,537620100
3,500440,1460659200
3,532779,168215950
3,508869,100649500
3,500469,2008752200
3,532155,2630040000
3,532424,378397150
3,500660,42351500
3,500425,734688650
3,532321,253051000
3,532483,671228100
3,500087,540786480
3,533278,2095327520
3,500830,133273140
3,531344,274182750
3,539448,96386750
3,500480,135828000
3,532868,618828000
3,500096,584670240
3,541153,757074120
3,532488,127424640
3,500124,121567630
3,505200,139473780
3,531162,202929000
3,532921,734447260
3,533096,771387800
3,532523,456228000
3,500530,8553260
3,500825,118025320
3,506285,13033180
3,509480,242849750
3,500049,3581791710
3,500493,256073400
3,500547,954470880
3,532454,2452390160
3,534816,835430470
3,500477,1438702230
3,500820,450823060
3,524804,281250720
3,532215,2768035500
3,532977,130215600
3,500034,266388760
3,532978,621197850
3,500490,48969360
3,532134,1861690320
3,532149,779677540
3,500410,84504150
3,539524,35841360
3,542216,80616400
3,500251,223956810
3,540376,148988250
3,532541,36642600
3,530517,72188540
3,543526,189749940
3,500027,16232700
3,541154,83597000
3,524494,134437680
3,517174,2210500
3,540699,32758000
3,500875,8813950650
3,532822,8202845610
3,500850,880648000
3,530965,3812734530
3,532514,350000000
3,532187,651658560
3,532777,73634880
3,500209,3613317060
3,533148,411169000
3,500228,942715800
3,500253,302534650
3,500510,1208613040
3,500257,241083750
3,500290,2417370
3,532720,593054400
3,500520,957258610
3,531642,517207600
3,532500,132915200
3,532286,397834320
3,533155,382695600
3,500247,1429981920
3,526299,82880160
3,533098,2712159450
3,500790,35673920
3,500312,3899886490
3,533106,357853650
3,532466,23325300
3,532555,4751366340
3,532827,5911620
3,532810,1161636080
3,532898,3417971970
3,532461,2972974050
3,532522,750000000
3,500331,152486400
3,500325,3450236700
3,532955,1237615280
3,500295,1115158200
3,500387,9741870
3,511218,247121820
3,500550,89030000
3,500112,3748326960
3,500113,1445532200
3,524715,1079660700
3,509930,64783770
3,532540,1024534280
3,500800,603857800
3,500570,1760222750
3,500400,1693530200
3,500470,8065942500
3,532755,633057100
3,500114,417259420
3,500420,98149340
3,532343,228042240
3,540691,700987130
3,511243,394504800
3,535755,341529480
3,539336,172097500
3,539437,3119305500
3,500271,217422450
3,541450,348487040
3,517334,1897362320
3,532432,297922400
3,539268,136487900
3,506401,69560430
3,543257,1829590840
3,540222,393215230
3,543287,240872500
3,543220,737834600
3,543384,370418360
3,543396,88957820
3,543390,166542920
3,532388,756096480
3,500483,116850000
3,500002,52977000
3,543458,155961480
3,542830,304000000
3,543066,283774200
3,500368,68779050
3,543300,310264650
3,500408,34874560
3,532648,12651934240
3,542652,43421410
3,533179,50440500
3,543412,81434780
3,543245,69168960
3,540762,104270760
3,543320,5045529550
3,500093,626101570
3,543529,101982300
3,542812,37349000
3,532539,189067230
3,543463,26703050
3,523642,80407890
3,500459,9413690
3,570001,467821840
3,503806,145246290
3,500680,15554320
3,540180,467676720
3,500488,5312250
3,523395,2816250
3,540611,473289550
3,539254,278873250
3,540153,35165750
3,540755,245616000
3,533150,116768820
3,540777,945713120
3,540716,235725600
3,540005,91702030
3,533273,116352640
3,540719,450373950
3,500238,31718000
3,540115,26400500
3,506395,120544100
3,500300,375289140
4,500271,217422450
4,539551,67439130
4,532504,34703200
4,539150,112877600
4,542066,274952500
4,541770,40608360
4,541557,7665000
4,541729,78952450
4,541988,44261840
4,512599,273600240
4,541956,253940400
4,540755,245616000
4,540743,30745600
4,540777,945713120
4,540716,235725600
4,505726,6077850
4,523610,18991540
4,540750,762488250
4,532942,134992320
4,540767,162025500
4,540719,450373950
4,540673,40805240
4,504973,95754540
4,540769,247200000
4,531335,15271680
4,540678,35515800
4,512573,39511050
4,543396,88957820
4,543390,166542920
4,530117,7031340
4,524742,23528380
4,543427,23861200
4,543426,70649540
4,532756,83449740
4,531768,45081460
4,517174,2210500
4,532790,71232000
4,533655,103457600
4,543334,100003680
4,500003,129870000
4,511196,93207800
4,526947,37740000
4,530517,72188540
4,570001,467821840
4,532443,5722640
4,532482,137964510
4,524200,26723320
4,519600,71835120
4,532548,59986710
4,500093,626101570
4,543463,26703050
4,543534,11205990
4,543523,42656040
4,543482,50281660
4,532754,2474737450
4,524226,82560960
4,543259,26367300
4,512455,84516560
4,543498,1680021040
4,524000,298496640
4,500405,67695120
4,540595,59597850
4,500002,52977000
4,543187,10595500
4,542752,53300000
4,532400,164052000
4,543235,41706000
4,543275,22553790
4,515030,109390950
4,522074,215498800
4,531531,57914480
4,524735,38223310
4,543257,1829590840
4,543258,8089960
4,543271,76454880
4,530019,78047690
4,540680,6077510
4,543278,133906890
4,543308,35212320
4,543277,71594820
4,543287,240872500
4,523704,14598240
4,532371,508281280
4,532648,12651934240
4,522205,123083690
4,542907,40907570
4,500368,68779050
4,543299,30609720
4,543300,310264650
4,520056,5260320
4,540691,700987130
4,541153,757074120
4,541154,83597000
4,539523,40652100
4,539524,35841360
4,500670,91697210
4,540575,133379400
4,543317,11602680
4,522215,19114200
4,543398,54846180
4,524051,15382080
4,517334,1897362320
4,540222,393215230
4,540212,12647250
4,540699,32758000
4,509557,9373880
4,542651,159003520
4,540902,16847000
4,531595,51514500
4,532156,52785600
4,505255,20230650
4,532162,76230900
4,506767,14308000
4,500133,4002180
4,542649,458704400
4,509966,6485640
4,540935,9927400
4,541233,483270060
4,543374,37440000
4,543320,5045529550
4,543335,79678880
4,540768,30230340
4,540749,14212120
4,500126,7967520
4,502219,49583160
4,543425,11268810
4,543336,71149500
4,543318,18060460
4,532368,988781780
4,543248,291742020
4,543232,34295800
4,500038,118282880
4,538962,81286860
4,543330,204805120
4,543384,370418360
4,540762,104270760
4,505533,57695210
4,543243,313676750
4,543227,63151520
4,530999,10368320
4,539807,1365668310
4,538835,90878130
4,543220,737834600
4,543237,30253500
4,543213,17097120
4,543228,25026800
4,543238,78721400
4,500266,5600210
4,509488,68381600
4,543529,101982300
4,509631,17368200
4,532508,152393550
4,517569,55017120
4,500730,109978440
4,506590,177407140
