NSE_Symbol,Company_Name,ISIN,BSE_Script_Code,BSE_Symbol,YQ_Symbol
,D40MS221RR,INF740KA1EP7,541008.0,D40MS221RR,541008.BO
,D40MS221RQ,INF740KA1EQ5,541009.0,D40MS221RQ,541009.BO
,D40MS221DG,INF740KA1ER3,541010.0,D40MS221DG,541010.BO
,D40MS221DR,INF740KA1ES1,541011.0,D40MS221DR,541011.BO
,D40MS221DQ,INF740KA1ET9,541012.0,D40MS221DQ,541012.BO
,LIQUIDETF,INF740KA1EU7,541097.0,LIQUIDETF,541097.BO
,LIQUIDEINAV,INF740KA1EU7,199056.0,LIQUIDEINAV,199056.BO
,D39MS223RG,INF740KA1FB4,541098.0,D39MS223RG,541098.BO
,D39MS223RR,INF740KA1FC2,541099.0,D39MS223RR,541099.BO
,D39MS223RQ,INF740KA1FD0,541100.0,D39MS223RQ,541100.BO
,D39MS223DG,INF740KA1FE8,541101.0,D39MS223DG,541101.BO
,D39MS223DR,INF740KA1FF5,541102.0,D39MS223DR,541102.BO
,D39MS224RG,INF740KA1FH1,541138.0,D39MS224RG,541138.BO
,D39MS224RR,INF740KA1FI9,541139.0,D39MS224RR,541139.BO
,D39MS224RQ,INF740KA1FJ7,541140.0,D39MS224RQ,541140.BO
,D39MS224DG,INF740KA1FK5,541141.0,D39MS224DG,541141.BO
,D39MS224DQ,INF740KA1FM1,541142.0,D39MS224DQ,541142.BO
,D39MS226RG,INF740KA1FT6,541184.0,D39MS226RG,541184.BO
,D39MS226RR,INF740KA1FU4,541185.0,D39MS226RR,541185.BO
,D39MS226RQ,INF740KA1FV2,541186.0,D39MS226RQ,541186.BO
,D39MS226DG,INF740KA1FW0,541187.0,D39MS226DG,541187.BO
,D39MS226DQ,INF740KA1FY6,541188.0,D39MS226DQ,541188.BO
,D39MS227RG,INF740KA1FZ3,541243.0,D39MS227RG,541243.BO
,D39MS227RR,INF740KA1GA4,541244.0,D39MS227RR,541244.BO
